input1,input2,true_output,fortran_pred,fortran_uncertainty,tensorflow_pred
  1.083865,  1.083865,584.778318,583.052630,  0.002181,583.045879
  0.142910,  0.142910,394.404137,394.879005,  0.001244,394.881846
  1.456918,  1.456918,475.526957,476.689192,  0.001915,476.688617
  0.873762,  0.873762,624.957233,624.651999,  0.001118,624.639609
  0.135283,  0.135283,396.931259,397.249784,  0.001247,397.246214
  0.342612,  0.342612,382.133055,383.335574,  0.001131,383.333774
 -0.245398, -0.245398,526.313355,526.573222,  0.002565,526.574257
 -0.123358, -0.123358,503.979437,506.237101,  0.002281,506.243908
 -1.373573, -1.373573,424.568371,423.477906,  0.001254,423.471032
 -1.067780, -1.067780,314.625690,313.781284,  0.001598,313.787583
  0.334984,  0.334984,380.733600,381.404251,  0.001135,381.404002
 -1.488679, -1.488679,416.654126,414.582879,  0.002358,414.571866
  0.515270,  0.515270,457.027958,457.483651,  0.001319,457.507434
 -1.533750, -1.533750,403.144759,405.008027,  0.003326,404.880423
  0.532606,  0.532606,467.294625,468.144579,  0.001328,468.143313
 -0.841729, -0.841729,276.878917,276.382397,  0.001450,276.372836
 -0.141387, -0.141387,509.508195,512.379166,  0.002332,512.380630
  0.967372,  0.967372,620.391175,621.682879,  0.001084,621.679801
 -0.015187, -0.015187,460.368839,459.391813,  0.001759,459.396692
  0.169260,  0.169260,386.719545,386.685696,  0.001257,386.692497
  0.519431,  0.519431,459.211856,460.042556,  0.001308,460.038606
  0.555488,  0.555488,481.477809,482.222774,  0.001380,482.218513
  1.499216,  1.499216,482.404583,477.035810,  0.001945,477.011038
 -0.762680, -0.762680,296.787795,297.396151,  0.001908,297.381801
 -0.250252, -0.250252,526.150167,527.237761,  0.002542,527.249758
 -1.587142, -1.587142,380.436149,376.735577,  0.005163,376.703450
  0.601253,  0.601253,510.276580,510.370664,  0.001494,510.372637
 -1.455395, -1.455395,422.942119,421.563859,  0.002290,421.566247
 -0.945740, -0.945740,278.352411,278.270860,  0.000829,278.262269
  0.000068,  0.000068,453.364898,452.785274,  0.001700,452.793887
 -0.976943, -0.976943,284.612971,284.359636,  0.000846,284.365839
  0.377282,  0.377282,391.355565,392.118284,  0.001116,392.112894
  0.984708,  0.984708,617.006389,620.651141,  0.001104,620.643410
  0.700410,  0.700410,568.686466,569.254351,  0.001717,569.255759
  1.007590,  1.007590,611.474428,614.729206,  0.002097,614.727093
  1.601841,  1.601841,519.600353,523.096851,  0.007239,523.069661
  0.373122,  0.373122,390.131752,391.063397,  0.001119,391.059668
  1.088025,  1.088025,583.152936,581.325518,  0.002181,581.334344
  0.447316,  0.447316,420.167007,421.221522,  0.001202,421.219268
  0.082584,  0.082584,416.741926,417.052583,  0.001520,417.055431
  0.418887,  0.418887,407.099632,407.831751,  0.001188,407.835423
 -0.662830, -0.662830,343.740485,344.233872,  0.001688,344.238982
  0.969453,  0.969453,620.133048,621.559600,  0.001082,621.552877
  1.245429,  1.245429,513.640605,515.960468,  0.002408,515.937235
  0.639390,  0.639390,533.722139,533.829007,  0.001603,533.819328
  1.033246,  1.033246,603.478536,604.075648,  0.002133,604.066945
 -0.466595, -0.466595,462.378126,463.508058,  0.002072,463.504937
 -0.039456, -0.039456,471.226472,469.902870,  0.001858,469.891891
 -0.328607, -0.328607,517.768410,516.162534,  0.002419,516.168331
 -1.379120, -1.379120,425.152349,423.922566,  0.001274,423.926480
 -0.726623, -0.726623,311.415268,311.091349,  0.001712,311.092154
  0.435528,  0.435528,414.496734,415.669902,  0.001182,415.669574
 -0.526228, -0.526228,427.701514,426.649042,  0.002017,426.658492
  1.663554,  1.663554,552.542158,551.931990,  0.009191,551.887925
 -1.252920, -1.252920,394.911444,394.995193,  0.001454,395.001249
  1.168461,  1.168461,547.464404,547.922491,  0.002280,547.919091
  0.922301,  0.922301,625.810655,624.367053,  0.001044,624.357715
 -0.288389, -0.288389,524.493105,523.927997,  0.002506,523.917200
  1.471480,  1.471480,477.225639,476.807392,  0.001938,476.807954
 -0.792497, -0.792497,287.318570,287.346622,  0.001296,287.346863
  0.701104,  0.701104,569.203901,569.646094,  0.001696,569.638555
 -1.697394, -1.697394,317.802067,317.888196,  0.006629,317.960819
 -0.330687, -0.330687,517.266232,515.762006,  0.002428,515.761205
  0.273271,  0.273271,373.973597,374.494920,  0.000724,374.500522
  0.633150,  0.633150,530.022029,529.989304,  0.001567,529.978700
  0.580451,  0.580451,497.153417,497.575325,  0.001443,497.589187
 -0.275215, -0.275215,525.547721,526.472251,  0.002546,526.487464
 -0.782096, -0.782096,290.355847,290.434113,  0.001708,290.433190
 -0.060258, -0.060258,479.973245,478.910897,  0.001952,478.918324
 -0.807059, -0.807059,283.463897,284.104134,  0.001327,284.096095
 -0.194779, -0.194779,521.620356,519.665711,  0.002416,519.669596
  0.983321,  0.983321,617.208175,620.733672,  0.001100,620.724883
  0.084664,  0.084664,415.868713,416.149115,  0.001537,416.148649
  0.750336,  0.750336,592.571662,593.074442,  0.001564,593.065604
  0.900112,  0.900112,626.116901,625.686470,  0.001014,625.683920
  1.153206,  1.153206,554.204138,554.258439,  0.002262,554.261111
 -0.563672, -0.563672,404.299172,403.506141,  0.002036,403.510687
  0.551328,  0.551328,478.820000,479.661656,  0.001376,479.663923
  0.432755,  0.432755,412.965655,414.363716,  0.001186,414.361554
  0.043060,  0.043060,433.832475,434.166814,  0.001582,434.181028
  0.970146,  0.970146,620.044025,621.519332,  0.001096,621.518786
 -1.255000, -1.255000,395.804975,395.634362,  0.001462,395.625704
 -0.409042, -0.409042,490.932106,489.489578,  0.002190,489.485055
  0.434835,  0.434835,414.032273,415.341249,  0.001184,415.346407
  0.046527,  0.046527,432.209264,432.667783,  0.001583,432.670763
  1.117148,  1.117148,570.552047,569.234771,  0.002220,569.244175
 -0.316126, -0.316126,520.443672,518.573085,  0.002453,518.565318
  1.519325,  1.519325,487.409077,484.570745,  0.005487,484.552824
 -1.126720, -1.126720,340.448675,339.870871,  0.001664,339.875405
  0.464652,  0.464652,428.493040,429.386242,  0.001202,429.395420
  1.040874,  1.040874,600.948538,600.907916,  0.002118,600.908004
 -0.985264, -0.985264,286.719074,285.984421,  0.000851,285.989261
 -1.515721, -1.515721,409.415361,408.910658,  0.002406,408.888469
  0.888324,  0.888324,625.946562,625.287703,  0.001139,625.281406
 -0.647575, -0.647575,352.560646,352.563000,  0.001654,352.545866
 -1.621813, -1.621813,362.643645,358.235826,  0.005523,358.298653
 -0.760600, -0.760600,297.526168,298.186149,  0.001904,298.189869
 -0.826474, -0.826474,279.629071,279.780962,  0.001395,279.777969
  0.194916,  0.194916,381.118005,381.085199,  0.000960,381.092263
